Id,Id2,Geography,Total,Not Hispanic or Latino,Puerto Rican,Guatemalan
1400000US25017332100,25017332100,"Census Tract 3321, Middlesex County, Massachusetts",5987,5952,0,0
1400000US25017332201,25017332201,"Census Tract 3322.01, Middlesex County, Massachusetts",2190,2008,88,0
1400000US25017332202,25017332202,"Census Tract 3322.02, Middlesex County, Massachusetts",6546,6207,224,0
1400000US25017332300,25017332300,"Census Tract 3323, Middlesex County, Massachusetts",7272,7064,40,153
1400000US25017332401,25017332401,"Census Tract 3324.01, Middlesex County, Massachusetts",2434,2423,3,0
1400000US25017332402,25017332402,"Census Tract 3324.02, Middlesex County, Massachusetts",1805,1771,0,4
1400000US25017358100,25017358100,"Census Tract 3581, Middlesex County, Massachusetts",5340,5296,0,0
1400000US25017358300,25017358300,"Census Tract 3583, Middlesex County, Massachusetts",6058,5819,65,0
1400000US25017358400,25017358400,"Census Tract 3584, Middlesex County, Massachusetts",5153,5011,26,14
1400000US25017358500,25017358500,"Census Tract 3585, Middlesex County, Massachusetts",5840,5773,0,10
1400000US25017358600,25017358600,"Census Tract 3586, Middlesex County, Massachusetts",6214,6038,18,0
1400000US25017358700,25017358700,"Census Tract 3587, Middlesex County, Massachusetts",5630,5534,0,0
1400000US25017359100,25017359100,"Census Tract 3591, Middlesex County, Massachusetts",6741,6350,97,0
1400000US25017359302,25017359302,"Census Tract 3593.02, Middlesex County, Massachusetts",0,0,0,0
1400000US25017359303,25017359303,"Census Tract 3593.03, Middlesex County, Massachusetts",7546,7442,32,0
1400000US25017360300,25017360300,"Census Tract 3603, Middlesex County, Massachusetts",6941,6057,562,0
1400000US25017368101,25017368101,"Census Tract 3681.01, Middlesex County, Massachusetts",5524,4978,174,60
1400000US25017368102,25017368102,"Census Tract 3681.02, Middlesex County, Massachusetts",5367,4835,53,30
1400000US25017368200,25017368200,"Census Tract 3682, Middlesex County, Massachusetts",3673,3423,128,23
1400000US25017368300,25017368300,"Census Tract 3683, Middlesex County, Massachusetts",5241,4073,325,229
1400000US25017368400,25017368400,"Census Tract 3684, Middlesex County, Massachusetts",8109,7033,302,291
1400000US25017368500,25017368500,"Census Tract 3685, Middlesex County, Massachusetts",3041,2374,52,315
1400000US25017368600,25017368600,"Census Tract 3686, Middlesex County, Massachusetts",6234,4727,109,1153
1400000US25017368700,25017368700,"Census Tract 3687, Middlesex County, Massachusetts",2714,1381,0,909
1400000US25017368800,25017368800,"Census Tract 3688, Middlesex County, Massachusetts",5553,4595,93,411
1400000US25017368901,25017368901,"Census Tract 3689.01, Middlesex County, Massachusetts",6233,5968,105,39
1400000US25017368902,25017368902,"Census Tract 3689.02, Middlesex County, Massachusetts",3491,2879,123,203
1400000US25017369000,25017369000,"Census Tract 3690, Middlesex County, Massachusetts",4194,3795,32,8
1400000US25017369100,25017369100,"Census Tract 3691, Middlesex County, Massachusetts",5281,5196,50,13
