"TRACTCE" "PUMACE10"
"1" "333300" "02800"
"2" "333400" "02800"
"3" "333502" "02800"
"4" "354500" "00506"
"5" "354700" "00506"
"6" "354800" "00506"
"7" "370101" "00505"
"8" "334100" "01000"
"9" "334200" "01000"
"10" "334400" "01000"
"11" "335100" "02800"
"12" "335200" "02800"
"13" "356100" "00505"
"14" "355000" "00506"
"15" "335400" "02800"
"16" "336100" "02800"
"17" "336300" "02800"
"18" "356300" "00505"
"19" "356400" "00505"
"20" "356500" "00505"
"21" "356601" "00505"
"22" "356602" "00505"
"23" "337101" "02800"
"24" "337102" "02800"
"25" "337201" "02800"
"26" "336402" "02800"
"27" "357100" "00505"
"28" "337202" "02800"
"29" "337300" "02800"
"30" "338100" "00505"
"31" "338200" "00505"
"32" "357200" "00505"
"33" "357300" "00505"
"34" "357400" "00505"
"35" "357500" "00505"
"36" "338400" "00505"
"37" "338500" "00505"
"38" "338300" "00505"
"39" "357600" "00505"
"40" "357700" "00505"
"41" "357800" "00505"
"42" "358100" "00503"
"43" "358300" "00503"
"44" "339200" "00508"
"45" "339300" "00508"
"46" "358400" "00503"
"47" "358500" "00503"
"48" "315403" "01300"
"49" "339500" "00508"
"50" "339700" "00508"
"51" "339900" "00508"
"52" "340000" "00508"
"53" "340100" "00508"
"54" "358600" "00503"
"55" "315500" "01300"
"56" "316400" "01300"
"57" "316500" "01300"
"58" "341400" "00508"
"59" "341500" "00508"
"60" "341600" "00508"
"61" "341700" "00508"
"62" "341800" "00508"
"63" "358700" "00503"
"64" "359100" "00503"
"65" "350500" "00507"
"66" "350600" "00507"
"67" "350800" "00507"
"68" "350900" "00507"
"69" "351300" "00507"
"70" "368101" "00503"
"71" "368300" "00503"
"72" "368600" "00503"
"73" "368800" "00503"
"74" "351500" "00507"
"75" "368400" "00503"
"76" "368200" "00503"
"77" "040600" "03302"
"78" "170302" "03306"
"79" "070103" "03302"
"80" "030302" "03302"
"81" "070201" "03302"
"82" "020305" "03302"
"83" "020304" "03302"
"84" "170504" "03306"
"85" "170101" "03306"
"86" "030301" "03302"
"87" "170301" "03306"
"88" "170503" "03306"
"89" "170102" "03306"
"90" "160103" "03306"
"91" "070302" "03302"
"92" "070301" "03302"
"93" "070102" "03302"
"94" "070501" "03302"
"95" "070202" "03302"
"96" "160102" "03306"
"97" "070502" "03302"
"98" "070104" "03302"
"99" "070902" "03302"
"100" "070802" "03302"
"101" "070801" "03302"
"102" "070901" "03302"
"103" "254301" "01300"
"104" "160400" "03306"
"105" "170200" "03306"
"106" "170400" "03306"
"107" "316202" "01300"
"108" "368500" "00503"
"109" "352200" "00506"
"110" "341200" "00508"
"111" "352900" "00506"
"112" "353800" "00506"
"113" "316201" "01300"
"114" "350300" "00507"
"115" "316300" "01300"
"116" "352300" "00506"
"117" "333100" "02800"
"118" "368700" "00503"
"119" "334300" "01000"
"120" "350400" "00507"
"121" "315200" "01300"
"122" "315402" "01300"
"123" "368102" "00503"
"124" "339600" "00508"
"125" "315401" "01300"
"126" "316101" "01300"
"127" "342600" "00507"
"128" "981700" "03302"
"129" "981501" "00506"
"130" "352500" "00506"
"131" "352600" "00506"
"132" "352700" "00506"
"133" "352800" "00506"
"134" "353000" "00506"
"135" "368902" "00503"
"136" "369000" "00503"
"137" "331101" "01300"
"138" "331102" "01300"
"139" "331200" "01300"
"140" "353200" "00506"
"141" "353300" "00506"
"142" "353600" "00506"
"143" "353700" "00506"
"144" "353900" "00506"
"145" "354000" "00506"
"146" "354100" "00506"
"147" "369100" "00503"
"148" "331300" "01300"
"149" "332100" "00503"
"150" "332300" "00503"
"151" "333200" "02800"
"152" "354200" "00506"
"153" "354300" "00506"
"154" "354400" "00506"
"155" "051200" "03302"
"156" "070700" "03302"
"157" "180200" "03306"
"158" "208101" "02800"
"159" "211300" "01000"
"160" "209100" "01000"
"161" "210100" "01000"
"162" "210200" "01000"
"163" "210500" "01000"
"164" "210600" "01000"
"165" "210700" "01000"
"166" "211100" "01000"
"167" "071101" "03302"
"168" "336202" "02800"
"169" "330102" "01000"
"170" "339101" "00508"
"171" "356703" "00505"
"172" "330202" "01000"
"173" "330201" "01000"
"174" "332401" "00503"
"175" "332202" "00503"
"176" "333602" "02800"
"177" "330101" "01000"
"178" "350106" "00507"
"179" "332402" "00503"
"180" "336201" "02800"
"181" "350701" "00507"
"182" "341302" "00508"
"183" "339803" "00508"
"184" "341301" "00508"
"185" "354902" "00506"
"186" "342402" "00507"
"187" "370103" "00505"
"188" "341903" "00508"
"189" "354601" "00506"
"190" "370301" "00505"
"191" "360300" "00503"
"192" "354602" "00506"
"193" "342302" "00507"
"194" "370403" "00505"
"195" "370402" "00505"
"196" "370302" "00505"
"197" "351002" "00507"
"198" "351001" "00507"
"199" "359400" "00506"
"200" "350202" "00507"
"201" "350201" "00507"
"202" "356704" "00505"
"203" "336404" "02800"
"204" "342501" "00507"
"205" "341904" "00508"
"206" "354901" "00506"
"207" "350702" "00507"
"208" "342401" "00507"
"209" "351101" "00507"
"210" "370104" "00505"
"211" "336403" "02800"
"212" "339102" "00508"
"213" "370401" "00505"
"214" "350108" "00507"
"215" "339804" "00508"
"216" "342301" "00507"
"217" "342502" "00507"
"218" "351102" "00507"
"219" "332201" "00503"
"220" "333601" "02800"
"221" "350107" "00507"
"222" "350109" "00507"
"223" "352400" "00506"
"224" "030500" "03302"
"225" "010500" "03302"
"226" "333501" "02800"
"227" "211402" "01000"
"228" "211401" "01000"
"229" "010600" "03302"
"230" "160200" "03306"
"231" "070600" "03302"
"232" "254200" "01300"
"233" "254302" "01300"
"234" "208200" "02800"
"235" "208102" "02800"
"236" "210900" "01000"
"237" "254403" "01300"
"238" "209200" "01000"
"239" "254401" "01300"
"240" "359303" "00503"
"241" "359302" "00503"
"242" "211202" "01000"
"243" "210302" "01000"
"244" "211201" "01000"
"245" "210301" "01000"
"246" "210402" "01000"
"247" "210401" "01000"
"248" "050101" "03302"
"249" "170502" "03306"
"250" "010802" "03302"
"251" "020101" "03302"
"252" "020301" "03302"
"253" "020302" "03302"
"254" "040100" "03302"
"255" "353102" "00506"
"256" "368901" "00503"
"257" "353101" "00506"
"258" "339802" "00508"
"259" "351404" "00507"
"260" "352102" "00506"
"261" "370202" "00505"
"262" "342101" "00507"
"263" "356701" "00505"
"264" "170800" "03306"
"265" "020200" "03302"
"266" "030200" "03302"
"267" "030400" "03302"
"268" "040200" "03302"
"269" "040300" "03302"
"270" "050200" "03302"
"271" "050300" "03302"
"272" "050400" "03302"
"273" "050600" "03302"
"274" "050700" "03302"
"275" "010702" "03302"
"276" "010801" "03302"
"277" "160502" "03306"
"278" "050500" "03302"
"279" "180500" "03306"
"280" "030100" "03302"
"281" "350105" "00507"
"282" "339400" "00508"
"283" "335302" "02800"
"284" "335301" "02800"
"285" "341101" "00508"
"286" "342202" "00507"
"287" "342102" "00507"
"288" "070402" "03302"
"289" "341901" "00508"
"290" "351403" "00507"
"291" "351204" "00507"
"292" "352101" "00506"
"293" "051101" "03302"
"294" "981600" "03302"
"295" "160300" "03306"
"296" "050901" "03302"
"297" "051000" "03302"
"298" "180301" "03306"
"299" "170601" "03306"
"300" "981502" "03302"
"301" "160601" "03306"
"302" "180101" "03306"
"303" "180400" "03306"
"304" "160602" "03306"
"305" "170702" "03306"
"306" "010701" "03302"
"307" "160501" "03306"
"308" "040801" "03302"
"309" "071201" "03302"
"310" "254100" "01300"
"311" "254402" "01300"
"312" "341102" "00508"
"313" "351203" "00507"
"314" "981300" "03302"
"315" "315100" "01300"
"316" "170701" "03306"
"317" "370201" "00505"
"318" "040401" "03302"
"319" "210800" "01000"
"320" "316102" "01300"
"321" "342201" "00507"
"322" "208301" "02800"
"323" "208302" "02800"
"324" "208401" "02800"
"325" "208402" "02800"
